"Year,month",subcategory,Leads_per_ad
2019-12,Music Instruments,5.842647962876706
2019-12,Music/Movies/Books/Magazines,5.580928992086272
2019-12,Other Accessories & Parts,7.174676695528658
2019-12,Others,6.279867634259789
2019-12,Pets,7.0114480540985955
2019-12,Professional/Business Equipment,6.15746205061016
2019-12,Rooms,8.978051098236602
2019-12,Services,7.18658770105413
2019-12,Shoes,5.888290154614025
2019-12,Sports & Outdoors,5.849910168960368
2019-12,TV/Audio/Video,8.683157348689313
2019-12,Textbooks,5.622109304607393
2019-12,Tickets & Vouchers,9.208618773195175
2019-12,Tours and Holidays,6.808603637016032
2019-12,Watches & Fashion Accessories,6.012895494804783
2019-12,Wedding,5.61555556505097
2020-01,Accessories for Phones & Gadgets,6.285331449039108
2020-01,Accommodation & Homestays,6.226113529458676
2020-01,Apartments,8.209956722051432
2020-01,Bags & Wallets,5.68821401476783
2020-01,Bed & Bath,5.95638943792716
2020-01,Business for Sale,9.55739076890864
2020-01,Cameras & Photography,6.907113787281033
2020-01,Car Accessories & Parts,6.706692214423884
2020-01,Cars,8.95091247957337
2020-01,Clothes,5.9626705499581245
2020-01,Commercial Properties,6.143943943091932
2020-01,Commercial Vehicle & Boats,7.79113542750291
2020-01,Computers & Accessories,7.096665680647051
2020-01,Food,5.816777397908077
2020-01,Furniture & Decoration,6.0263781750235275
2020-01,Games & Consoles,8.122395731656487
2020-01,Garden Items,5.761977039686933
2020-01,Health & Beauty,6.6812974307875
2020-01,Hobby & Collectibles,6.022310226040989
2020-01,Home Appliances & Kitchen,6.555850850330592
2020-01,Houses,8.230797568386238
2020-01,Jobs,11.724622702130738
2020-01,Land,6.625454388545906
2020-01,Mobile Phones & Gadgets,9.646896497396911
2020-01,Moms & Kids,6.28655696646256
2020-01,Motorcycle Accessories & Parts,6.723757746764854
2020-01,Motorcycles,10.67547819320793
2020-01,Music Instruments,5.9194310221271715
2020-01,Music/Movies/Books/Magazines,5.3403350555582465
2020-01,Other Accessories & Parts,7.262196205717193
2020-01,Others,6.279092750869648
2020-01,Pets,6.923071801547921
2020-01,Professional/Business Equipment,6.4352673718451285
2020-01,Rooms,8.973274481777711
2020-01,Services,7.204588372438297
2020-01,Shoes,5.770746695086963
2020-01,Sports & Outdoors,5.883215964608759
2020-01,TV/Audio/Video,7.661651852457482
2020-01,Textbooks,6.139018541312693
2020-01,Tickets & Vouchers,9.410635001662907
2020-01,Tours and Holidays,6.648355093095715
2020-01,Watches & Fashion Accessories,5.855205517843549
2020-01,Wedding,5.567291548622619
2020-02,Accessories for Phones & Gadgets,6.160786192400896
2020-02,Accommodation & Homestays,6.061048790893052
2020-02,Apartments,8.25355724061063
2020-02,Bags & Wallets,5.740980424747206
2020-02,Bed & Bath,5.7972644806635945
2020-02,Business for Sale,9.721994105831278
2020-02,Cameras & Photography,6.645931526556721
2020-02,Car Accessories & Parts,6.5170799136340145
2020-02,Cars,8.77591654979029
2020-02,Clothes,5.681047763752226
2020-02,Commercial Properties,6.159364576196473
2020-02,Commercial Vehicle & Boats,7.407611919077233
2020-02,Computers & Accessories,6.994486957725701
2020-02,Food,5.586233347276019
2020-02,Furniture & Decoration,5.919097166635958
2020-02,Games & Consoles,8.07875500048389
2020-02,Garden Items,5.862509723624561
2020-02,Health & Beauty,10.818308443266744
2020-02,Hobby & Collectibles,5.7661421478870905
2020-02,Home Appliances & Kitchen,6.394188717522973
2020-02,Houses,8.077658429485721
2020-02,Jobs,13.627309167090385
2020-02,Land,6.4928697860164855
2020-02,Mobile Phones & Gadgets,9.73106775514034
